FIPS,YPLL
40017,6497
40015,12417
40013,10094
40011,12898
40009,11328
40007,8081
40005,9953
40003,6752
40001,11818
40000,9225
39175,7947
39173,5734
39171,7967
39169,7496
39167,9158
39165,5977
39163,10841
39161,8409
39159,5529
39157,7102
39155,10530
39153,8843
39151,8650
39149,7619
39147,7484
39145,13060
39143,8226
39141,9781
39139,9964
39137,5718
39135,9857
39133,7376
39131,13085
39129,8196
39127,8446
39125,7555
39123,8656
39121,7423
39119,9134
39117,7524
39115,8757
39113,11185
39111,7706
39109,7602
39107,6114
39105,12075
39103,5870
39101,9999
39099,9130
39097,8525
39095,9839
39093,8280
39091,8549
39089,6840
39087,11963
39085,7609
39083,7654
39081,10213
39079,12111
39077,8749
39075,5172
39073,9324
39071,9886
39069,7224
39067,9904
39065,8640
39063,7816
39061,9116
39059,9450
39057,6598
39055,5484
39053,12659
39051,7845
39049,8233
39047,10999
39045,6862
39043,9571
39041,4125
39039,7696
39037,8954
39035,9085
39033,9661
39031,8559
39029,8980
39027,10005
39025,8228
39023,12179
39021,8434
39019,8073
39017,9429
39015,10748
39013,8289
39011,6454
39009,7014
39007,10013
39005,7483
39003,9037
39001,12223
39000,8606
38105,6798
38103,
38101,5575
38099,6880
38097,7113
38095,
38093,6646
38091,
38089,6027
38087,
38085,22694
38083,
38081,
38079,14456
38077,6817
38075,
38073,8317
38071,7370
38069,
38067,6746
38065,
38063,
38061,12486
38059,7112
38057,6373
38055,8868
38053,7969
38051,
38049,7812
38047,
38045,
38043,
38041,
38039,
38037,
38035,6589
38033,
38031,
38029,
38027,
38025,10477
38023,
38021,
38019,
38017,5497
38015,5676
38013,
38011,
38009,10261
38007,
38005,15907
38003,7128
38001,
38000,6565
37199,7430
37197,8204
37195,10148
37193,9534
37191,9164
37189,5145
37187,10051
37185,9487
37183,4691
37181,13141
37179,5702
37177,7560
37175,7499
37173,12358
37171,10017
37169,9609
37167,9418
37165,12007
37163,9810
37161,9698
37159,9850
37157,9887
37155,12577
37153,10845
37151,9378
37149,7364
37147,7563
37145,9895
37143,8467
37141,9391
37139,8802
37137,8789
37135,4510
37133,8360
37131,10887
37129,7400
37127,10356
37125,7705
37123,7758
37121,8935
37119,5895
37117,10228
37115,7898
37113,8992
37111,8859
37109,8018
37107,9998
37105,10139
37103,8739
37101,6765
37099,8780
37097,7527
37095,7280
37093,8250
37091,9243
37089,6837
37087,9038
37085,8205
37083,10895
37081,7665
37079,8234
37077,7535
37075,8708
37073,11222
