County_FIPS,Medicaid,SVI,YPLL,Unemp,Covid_last_14,Cum_Covid_death_in_June,Cum_Covid_death_in_July,Cum_Covid_death_in_August
22045,742.6607475297151,0.017521319235130037,10383.0,11.0,124.5882858370328,3507.0886438493485,5815.552054990691,9202.348560790491
22061,527.149030850199,0.01595319826599504,7495.0,8.0,609.7300072739721,2055.9667964571477,3393.0940053912973,5626.631295194899
22067,738.7048908316095,0.014296744764773644,13712.0,11.4,313.58044544504304,1600.0643241939374,2878.507678700651,4579.078555921847
22083,811.9561583431973,0.014155840216416108,10287.0,9.0,253.4539310207733,730.5436835304641,1485.9357916708082,2688.599542788987
22087,738.4102646993174,0.014092369646456337,11365.0,13.3,158.750317500635,3517.9070358140716,5054.610109220219,6654.81330962662
22013,811.1169851219697,0.01568904037417297,11198.0,9.0,309.64428668529564,11517.257004757948,18095.31002190167,25156.71021826146
22031,699.6520938916162,0.0154365204144124,9012.0,8.5,174.7806139169064,4384.0803990824015,6783.67257764993,9962.494993263665
22049,697.5240206947524,0.015916331465422134,9036.0,6.5,400.1524390243903,4477.8963414634145,7856.961382113821,11604.420731707318
22069,787.5865420810123,0.016544078259326682,11468.0,8.5,285.6543844016982,1944.5463598721108,3121.232769013051,4656.952670475392
22071,728.7472411119064,0.021000221013206647,10078.0,16.0,93.2988845144357,10177.267880577427,14496.954970472441,19001.95825131234
22091,831.3892976348562,0.016111480306022344,12394.0,14.7,286.2218712988551,750.0986971969996,1056.0600078957757,1589.024871693644
22029,581.7351037767467,0.015873836721230727,12780.0,9.8,88.27041902487149,1796.5626460356195,2876.577184692871,4314.8657770393065
22041,823.5641450730134,0.015601356719811462,10656.0,9.6,219.83512365725704,3252.560579565326,5525.855608293779,8908.318760929302
22097,610.7394140125132,0.01544274984250735,12667.0,10.4,105.93736301203059,4572.354001266378,6941.941454386049,10549.900150991185
22107,1011.872299366531,0.01563363176110426,12381.0,10.0,138.4402399630826,0.0,0.0,276.8804799261652
22117,895.3937347235178,0.018218853895188233,13484.0,10.3,145.04048144780708,5479.066545438802,8927.566350608304,12867.471966056199
22027,788.0721703312641,0.017438916637771806,9862.0,7.0,255.26483726866627,4524.569240587109,6515.634971282706,8825.781748564135
22039,848.1944765819597,0.01949213114322583,11220.0,9.9,176.67315466387183,185.65653540949242,329.39062733942205,1557.1193292409043
22035,791.0323170489328,0.026349856681158457,12206.0,13.3,189.4767526599621,87.4508089199825,539.2799883398922,1340.9124034397319
22065,811.7149948946133,0.020133137695877094,12805.0,10.3,200.89489544333853,529.6319970778924,1844.580403616108,3606.9765318235773
