County_FIPS,Proportional_allocation_to_Medicaid_demand,Medicaid_demand,Percentile_ranks_Medicaid_demand,Proportional_allocation_to_Medicaid_capita,Medicaid_capita,Percentile_ranks_Medicaid_capita,Proportional_allocation_to_Covid,Covid,Percentile_ranks_Covid,Proportional_allocation_to_SVI,SVI,Percentile_ranks_SVI,Proportional_allocation_to_YPLL,YPLL,Percentile_ranks_YPLL,Proportional_allocation_to_Unemployment,Unemployment,Percentile_ranks_Unemployment,Proportional_allocation_to_Unemployment_capita,Unemployment_capita,Percentile_ranks_Unemployment_capita,Proportional_allocation_to_Covid_capita,Covid_capita,Percentile_ranks_Covid_capita,Proportional_allocation_to_Covid_death_capita,Covid_death_capita,Percentile_ranks_Covid_death_capita
48227,65.73646863430997,5014.207701444339,63.38582677165354,195.76874486501532,13676.106538960123,35.826771653543304,36.347850752366305,122.0,50.0,297.4976890534634,0.0050906608506598805,89.76377952755905,277.1639538006971,10182.0,88.58267716535433,68.41062842859425,1323,69.68503937007874,271.84125680395056,9.1,75.78740157480316,87.7029327731586,332.751472834388,20.47244094488189,257.9077395880127,253.65481125900064,67.32283464566929
48243,3.3512219124966847,255.62253452293757,7.874015748031496,160.91241666000695,11241.096504966472,18.89763779527559,10.129728898200446,34.0,28.937007874015748,163.12813266172992,0.002791383022921846,4.724409448818897,231.38485156186857,8500.241558457017,52.55905511811024,2.6888531203982624,52,8.26771653543307,164.29966070568443,5.5,15.551181102362206,394.0783595189849,1495.1627088830255,88.58267716535433,89.42538243684946,87.95074758135445,9.05511811023622
48267,10.12869309373998,772.5904961327591,19.68503937007874,255.00037575214765,17813.938116964702,68.89763779527559,4.468998043323726,15.0,13.582677165354331,197.8998036495485,0.0033863818774437153,29.921259842519685,231.38485156186857,8500.241558457017,52.55905511811024,6.308463090165155,122,18.11023622047244,203.13412596339165,6.8,44.09448818897638,91.15824738700222,345.8611943739912,24.015748031496063,140.66404403601265,138.34447774959648,21.653543307086615
48275,11.216589759363904,855.5724383099814,21.25984251968504,334.25830125089175,23350.7761547484,92.1259842519685,3.2772652317707327,11.0,10.62992125984252,196.36000485479337,0.003360033459520561,27.95275590551181,318.86648544700114,11714.0,97.24409448818898,5.1708713853812736,100,15.551181102362206,215.08319219653234,7.2,52.36220472440945,79.12821157372116,300.2183406113537,14.566929133858268,388.5025211871642,382.09606986899564,91.33858267716535
48297,22.870839096852375,1744.5284165763167,34.645669291338585,204.57378690896746,14291.213374099423,41.338582677165356,14.300793738635925,48.0,35.039370078740156,233.41364018443636,0.003994080370430659,59.84251968503937,200.48247100197742,7365.0,24.015748031496063,26.474861493152122,512,44.881889763779526,271.84125680395056,9.1,75.78740157480316,103.63976575209074,393.21700663553696,28.74015748031496,158.25809263400168,155.64839845990005,28.346456692913385
48299,35.36289391246501,2697.390028473386,47.24409448818898,177.1608500428299,12376.187329540655,28.346456692913385,148.9666014441242,500.0,74.80314960629921,201.49694625419565,0.003447934735517941,35.43307086614173,236.49581915345277,8688.0,63.77952755905512,28.956879758135134,560,46.8503937007874,194.17232628853614,6.5,36.023622047244096,604.6544603768887,2294.1041523285157,90.94488188976378,195.9357519104982,192.70474879559532,42.91338582677165
48305,14.93044389373523,1138.8556202253264,26.771653543307085,273.9426169243585,19137.214253492293,76.77165354330708,2.383465623105987,8.0,6.692913385826771,221.76816260485313,0.0037948076399760442,48.031496062992126,250.2424108514838,9193.0,70.86614173228347,8.842190069001978,171,24.212598425196852,188.1977931719658,6.3,31.299212598425196,35.43187757059799,134.43118803562427,3.543307086614173,324.62721169270014,319.2740715846076,79.92125984251969
48309,543.885810015087,41486.20201147452,92.51968503937007,231.4136546754689,16166.205683619364,55.511811023622045,306.27533256911937,1028.0,87.00787401574803,247.57311229745363,0.004236371564628116,71.65354330708661,198.68588674045256,7299.0,22.834645669291337,414.9624286768472,8025,91.33858267716535,194.17232628853614,6.5,36.023622047244096,105.58243333531202,400.58763244136344,29.133858267716537,162.44619745925388,159.76744095424027,29.921259842519685
48319,5.114364784369941,390.11050977567714,11.417322834645669,130.65740062553346,9127.527135603115,9.448818897637794,7.746263275094458,26.0,24.015748031496063,169.3288674690602,0.002897487504033723,6.692913385826771,231.38485156186857,8500.241558457017,52.55905511811024,6.515297945580405,126,19.488188976377952,218.0704587548175,7.3,54.330708661417326,160.33670709488607,608.3294337856809,56.2992125984252,95.15831523696568,93.58914365933552,10.236220472440944
48321,89.4576177686615,6823.595567078714,72.44094488188976,266.5650067206193,18621.825634033008,73.62204724409449,60.18250698342618,202.0,59.44881889763779,246.29684237232664,0.004214532546774263,69.29133858267717,269.40597630774886,9897.0,83.46456692913385,100.15977873483529,1937,75.19685039370079,340.54838764450955,11.4,90.74803149606299,145.29627381550017,551.2649073492892,50.0,235.85721926723562,231.96790655786916,59.84251968503937
48325,95.45980626865557,7281.426972194424,74.01574803149606,202.0609374198083,14115.669533565491,40.15748031496063,49.15897847656099,165.0,55.31496062992126,211.62511791894005,0.0036212439371676093,42.91338582677165,188.09692798691972,6910.0,16.929133858267715,76.27035293437379,1475,70.4724409448819,203.13412596339165,6.8,44.09448818897638,84.30688795152983,319.8666253101737,18.11023622047244,163.6003948113353,160.90260545905707,30.708661417322833
48333,6.80248029999327,518.8755924644703,14.960629921259843,152.42201967570435,10647.970294776735,15.748031496062993,61.970106200755666,208.0,62.20472440944882,197.85188196565636,0.0033855618608551376,29.52755905511811,245.3426355927797,9013.0,68.50393700787401,5.1708713853812736,100,15.551181102362206,161.31239414739926,5.4,14.37007874015748,1125.0220991151948,4268.417812435871,96.45669291338582,396.4409063786699,389.9035501744305,92.1259842519685
